animalid;date;time;feedid;portion;assigned;consumption
19165ED7-212E-21C4-0428-030D4265475F;2020-03-28;11:24:46;4;3.870;14.511;15.241
19165ED7-212E-21C4-0428-030D4265475F;2020-03-29;07:04:27;4;3.293;9.811;18.747
19165ED7-212E-21C4-0428-030D4265475F;2020-03-30;08:20:45;4;4.832;15.961;15.543
19165ED7-212E-21C4-0428-030D4265475F;2020-03-31;10:32:58;4;6.097;12.995;16.990
19165ED7-212E-21C4-0428-030D4265475F;2020-04-01;13:59:32;4;7.956;16.392;16.004
19165ED7-212E-21C4-0428-030D4265475F;2020-04-02;13:14:46;4;4.425;14.672;17.653
19165ED7-212E-21C4-0428-030D4265475F;2020-04-03;16:55:52;4;7.676;14.115;15.307
19165ED7-212E-21C4-0428-030D4265475F;2020-04-04;09:01:37;4;7.910;15.154;15.604
19165ED7-212E-21C4-0428-030D4265475F;2020-04-05;12:35:29;3;5.336;12.467;15.688
19165ED7-212E-21C4-0428-030D4265475F;2020-04-06;12:07:40;3;3.177;13.491;16.526
19165ED7-212E-21C4-0428-030D4265475F;2020-04-07;11:53:03;3;3.465;9.715;17.211
19165ED7-212E-21C4-0428-030D4265475F;2020-04-08;11:35:30;3;4.411;11.913;18.316
19165ED7-212E-21C4-0428-030D4265475F;2020-04-09;10:18:35;3;5.450;16.478;18.245
19165ED7-212E-21C4-0428-030D4265475F;2020-04-10;09:12:27;3;7.173;15.253;16.118
19165ED7-212E-21C4-0428-030D4265475F;2020-04-11;16:11:13;4;3.708;14.677;15.888
19165ED7-212E-21C4-0428-030D4265475F;2020-04-12;06:36:34;4;3.207;12.240;17.862
19165ED7-212E-21C4-0428-030D4265475F;2020-04-13;12:21:55;3;4.677;16.431;17.330
19165ED7-212E-21C4-0428-030D4265475F;2020-04-14;09:26:29;3;3.810;14.959;15.608
19165ED7-212E-21C4-0428-030D4265475F;2020-04-15;12:23:42;3;6.062;14.734;18.844
19165ED7-212E-21C4-0428-030D4265475F;2020-04-16;06:53:47;3;6.555;10.464;16.911
19165ED7-212E-21C4-0428-030D4265475F;2020-04-17;08:44:45;3;6.140;13.284;16.607
19165ED7-212E-21C4-0428-030D4265475F;2020-04-18;09:52:18;4;4.038;15.205;17.497
19165ED7-212E-21C4-0428-030D4265475F;2020-04-19;07:39:24;3;7.003;13.699;17.083
19165ED7-212E-21C4-0428-030D4265475F;2020-04-20;14:44:33;3;4.316;9.915;18.934
19165ED7-212E-21C4-0428-030D4265475F;2020-04-21;06:41:56;4;6.330;14.978;16.222
19165ED7-212E-21C4-0428-030D4265475F;2020-04-22;11:32:23;4;6.943;15.262;17.703
19165ED7-212E-21C4-0428-030D4265475F;2020-04-23;13:50:08;4;5.692;13.880;15.067
19165ED7-212E-21C4-0428-030D4265475F;2020-04-24;15:07:46;4;7.571;12.526;17.164
19165ED7-212E-21C4-0428-030D4265475F;2020-04-25;12:42:53;4;3.084;14.526;18.617
19165ED7-212E-21C4-0428-030D4265475F;2020-04-26;09:42:41;3;6.010;16.448;15.797
19165ED7-212E-21C4-0428-030D4265475F;2020-04-27;11:37:47;3;7.841;17.331;16.208
19165ED7-212E-21C4-0428-030D4265475F;2020-04-28;08:16:55;3;3.539;10.457;15.476
19165ED7-212E-21C4-0428-030D4265475F;2020-04-29;17:41:50;4;7.649;12.908;15.147
19165ED7-212E-21C4-0428-030D4265475F;2020-04-30;13:06:56;3;4.968;16.610;16.407
19165ED7-212E-21C4-0428-030D4265475F;2020-05-01;11:25:39;4;6.528;14.844;16.072
19165ED7-212E-21C4-0428-030D4265475F;2020-05-02;14:25:28;3;5.214;11.313;17.944
19165ED7-212E-21C4-0428-030D4265475F;2020-05-03;14:27:45;4;7.160;12.070;15.133
19165ED7-212E-21C4-0428-030D4265475F;2020-05-04;11:12:25;4;7.168;17.355;18.881
19165ED7-212E-21C4-0428-030D4265475F;2020-05-05;11:45:44;3;6.005;13.794;15.249
19165ED7-212E-21C4-0428-030D4265475F;2020-05-06;12:31:41;3;5.763;17.336;15.658
19165ED7-212E-21C4-0428-030D4265475F;2020-05-07;15:47:38;3;3.576;13.327;15.662
19165ED7-212E-21C4-0428-030D4265475F;2020-05-08;13:21:35;3;7.377;12.728;17.568
19165ED7-212E-21C4-0428-030D4265475F;2020-05-09;07:01:30;3;3.979;14.761;18.624
19165ED7-212E-21C4-0428-030D4265475F;2020-05-10;17:40:07;3;4.868;11.303;16.698
19165ED7-212E-21C4-0428-030D4265475F;2020-05-11;10:49:01;3;7.760;13.854;18.518
19165ED7-212E-21C4-0428-030D4265475F;2020-05-12;08:32:20;4;5.669;12.165;16.015
19165ED7-212E-21C4-0428-030D4265475F;2020-05-13;12:00:54;3;5.547;12.626;17.646
19165ED7-212E-21C4-0428-030D4265475F;2020-05-14;10:26:18;4;5.260;12.365;16.015
19165ED7-212E-21C4-0428-030D4265475F;2020-05-15;10:23:14;3;7.984;10.652;18.862
19165ED7-212E-21C4-0428-030D4265475F;2020-05-16;14:07:53;4;6.068;15.702;17.510
19165ED7-212E-21C4-0428-030D4265475F;2020-05-17;08:20:08;3;7.873;16.033;17.818
19165ED7-212E-21C4-0428-030D4265475F;2020-05-18;12:38:44;3;6.839;16.217;16.292
19165ED7-212E-21C4-0428-030D4265475F;2020-05-19;10:11:52;4;3.882;12.224;15.204
19165ED7-212E-21C4-0428-030D4265475F;2020-05-20;13:14:32;3;5.747;17.385;17.464
19165ED7-212E-21C4-0428-030D4265475F;2020-05-21;17:34:33;3;4.417;17.458;15.951
19165ED7-212E-21C4-0428-030D4265475F;2020-05-22;17:08:12;3;4.498;16.369;16.603
19165ED7-212E-21C4-0428-030D4265475F;2020-05-23;17:21:25;3;3.309;11.502;17.207
19165ED7-212E-21C4-0428-030D4265475F;2020-05-24;17:52:42;3;3.756;14.531;18.673
19165ED7-212E-21C4-0428-030D4265475F;2020-05-25;11:12:38;4;7.859;10.221;16.410
19165ED7-212E-21C4-0428-030D4265475F;2020-05-26;10:49:34;3;6.508;17.647;18.122
19165ED7-212E-21C4-0428-030D4265475F;2020-05-27;10:16:08;3;4.634;9.654;16.700
19165ED7-212E-21C4-0428-030D4265475F;2020-05-28;09:58:24;4;7.455;17.900;18.978
19165ED7-212E-21C4-0428-030D4265475F;2020-05-29;09:37:40;4;6.221;15.348;15.836
19165ED7-212E-21C4-0428-030D4265475F;2020-05-30;13:24:31;4;5.960;15.803;17.796
19165ED7-212E-21C4-0428-030D4265475F;2020-05-31;11:05:09;3;7.213;9.666;16.965
19165ED7-212E-21C4-0428-030D4265475F;2020-06-01;07:39:53;3;3.345;14.077;15.616
19165ED7-212E-21C4-0428-030D4265475F;2020-06-02;08:29:20;4;7.472;15.389;18.592
19165ED7-212E-21C4-0428-030D4265475F;2020-06-03;09:32:34;4;5.488;17.834;15.738
19165ED7-212E-21C4-0428-030D4265475F;2020-06-04;11:42:56;3;5.174;17.903;16.006
19165ED7-212E-21C4-0428-030D4265475F;2020-06-05;08:12:32;3;7.426;9.588;17.468
19165ED7-212E-21C4-0428-030D4265475F;2020-06-06;10:16:13;3;4.850;14.542;15.943
19165ED7-212E-21C4-0428-030D4265475F;2020-06-07;06:28:27;4;4.153;16.282;17.175
19165ED7-212E-21C4-0428-030D4265475F;2020-06-08;07:43:00;3;6.247;12.287;18.159
19165ED7-212E-21C4-0428-030D4265475F;2020-06-09;06:22:20;4;6.299;14.357;18.502
19165ED7-212E-21C4-0428-030D4265475F;2020-06-10;17:20:14;3;7.839;14.052;18.204
19165ED7-212E-21C4-0428-030D4265475F;2020-06-11;12:15:53;4;5.368;15.054;15.078
19165ED7-212E-21C4-0428-030D4265475F;2020-06-12;07:02:08;4;6.182;16.702;17.557
19165ED7-212E-21C4-0428-030D4265475F;2020-06-13;17:56:22;3;6.695;17.684;18.141
19165ED7-212E-21C4-0428-030D4265475F;2020-06-14;11:26:06;3;7.436;13.719;17.511
19165ED7-212E-21C4-0428-030D4265475F;2020-06-15;12:07:00;4;5.469;9.660;15.965
19165ED7-212E-21C4-0428-030D4265475F;2020-06-16;12:51:41;3;3.594;10.652;18.598
19165ED7-212E-21C4-0428-030D4265475F;2020-06-17;11:15:21;4;3.487;15.222;15.678
19165ED7-212E-21C4-0428-030D4265475F;2020-06-18;13:55:45;3;3.914;14.317;15.411
19165ED7-212E-21C4-0428-030D4265475F;2020-06-19;11:29:03;4;5.721;17.129;15.690
19165ED7-212E-21C4-0428-030D4265475F;2020-06-20;13:24:20;4;5.842;14.137;16.382
19165ED7-212E-21C4-0428-030D4265475F;2020-06-21;09:09:56;4;4.906;10.872;18.885
19165ED7-212E-21C4-0428-030D4265475F;2020-06-22;06:00:26;3;5.004;10.635;18.190
19165ED7-212E-21C4-0428-030D4265475F;2020-06-23;09:34:38;4;3.153;16.779;15.882
19165ED7-212E-21C4-0428-030D4265475F;2020-06-24;10:03:23;4;3.309;14.516;17.039
19165ED7-212E-21C4-0428-030D4265475F;2020-06-25;07:14:58;4;6.634;12.827;15.595
19165ED7-212E-21C4-0428-030D4265475F;2020-06-26;06:31:10;3;4.200;16.576;16.592
19165ED7-212E-21C4-0428-030D4265475F;2020-06-27;07:09:47;3;5.155;11.085;17.505
19165ED7-212E-21C4-0428-030D4265475F;2020-06-28;14:35:29;3;7.768;9.423;16.295
19165ED7-212E-21C4-0428-030D4265475F;2020-06-29;07:52:09;3;4.600;12.083;17.937
19165ED7-212E-21C4-0428-030D4265475F;2020-06-30;16:43:16;4;5.731;12.783;17.738
19165ED7-212E-21C4-0428-030D4265475F;2020-07-01;16:43:20;4;4.201;13.610;17.142
19165ED7-212E-21C4-0428-030D4265475F;2020-07-02;13:56:32;3;7.102;13.207;18.840
19165ED7-212E-21C4-0428-030D4265475F;2020-07-03;12:35:18;4;6.702;10.044;18.463
19165ED7-212E-21C4-0428-030D4265475F;2020-07-04;14:26:30;3;4.734;11.416;16.202
19165ED7-212E-21C4-0428-030D4265475F;2020-07-05;13:47:20;4;3.270;15.292;16.928
19165ED7-212E-21C4-0428-030D4265475F;2020-07-06;06:10:33;4;7.897;9.981;17.116
19165ED7-212E-21C4-0428-030D4265475F;2020-07-07;12:34:57;4;7.269;12.192;17.937
19165ED7-212E-21C4-0428-030D4265475F;2020-07-08;08:53:42;3;5.375;11.887;17.915
19165ED7-212E-21C4-0428-030D4265475F;2020-07-09;11:00:56;3;3.586;14.646;17.593
19165ED7-212E-21C4-0428-030D4265475F;2020-07-10;16:55:58;3;4.630;13.928;18.873
19165ED7-212E-21C4-0428-030D4265475F;2020-07-11;10:09:51;3;3.064;16.272;15.120
19165ED7-212E-21C4-0428-030D4265475F;2020-07-12;16:07:15;4;6.018;12.821;17.098
19165ED7-212E-21C4-0428-030D4265475F;2020-07-13;11:48:11;4;7.702;15.405;18.109
19165ED7-212E-21C4-0428-030D4265475F;2020-07-14;14:00:35;4;7.515;13.533;18.954
19165ED7-212E-21C4-0428-030D4265475F;2020-07-15;15:47:31;3;6.589;14.538;15.693
19165ED7-212E-21C4-0428-030D4265475F;2020-07-16;10:25:42;3;4.904;14.687;16.633
19165ED7-212E-21C4-0428-030D4265475F;2020-07-17;17:39:52;3;6.895;13.481;18.428
19165ED7-212E-21C4-0428-030D4265475F;2020-07-18;10:56:07;3;5.513;17.672;18.022
19165ED7-212E-21C4-0428-030D4265475F;2020-07-19;10:18:33;3;3.271;13.171;17.589
19165ED7-212E-21C4-0428-030D4265475F;2020-07-20;10:27:02;3;3.170;10.038;17.151
19165ED7-212E-21C4-0428-030D4265475F;2020-07-21;09:50:07;4;4.068;14.023;18.471
19165ED7-212E-21C4-0428-030D4265475F;2020-07-22;09:56:44;3;5.949;17.214;17.171
19165ED7-212E-21C4-0428-030D4265475F;2020-07-23;13:59:09;4;3.723;17.892;15.430
19165ED7-212E-21C4-0428-030D4265475F;2020-07-24;14:28:20;4;7.070;17.787;17.402
19165ED7-212E-21C4-0428-030D4265475F;2020-07-25;13:58:26;3;6.126;12.887;18.680
19165ED7-212E-21C4-0428-030D4265475F;2020-07-26;15:21:29;3;5.549;17.939;18.335
19165ED7-212E-21C4-0428-030D4265475F;2020-07-27;12:31:28;4;6.081;9.516;18.310
19165ED7-212E-21C4-0428-030D4265475F;2020-07-28;09:13:02;3;4.521;9.723;18.906
19165ED7-212E-21C4-0428-030D4265475F;2020-07-29;07:57:55;4;4.563;16.693;15.813
19165ED7-212E-21C4-0428-030D4265475F;2020-07-30;09:26:02;4;5.409;16.340;16.472
19165ED7-212E-21C4-0428-030D4265475F;2020-07-31;15:54:33;4;3.222;16.542;18.378
19165ED7-212E-21C4-0428-030D4265475F;2020-08-01;09:44:27;4;5.516;12.960;16.082
19165ED7-212E-21C4-0428-030D4265475F;2020-08-02;16:05:44;3;7.845;9.034;18.745
19165ED7-212E-21C4-0428-030D4265475F;2020-08-03;11:46:09;4;6.976;16.954;15.453
19165ED7-212E-21C4-0428-030D4265475F;2020-08-04;12:24:27;4;4.197;13.140;15.541
19165ED7-212E-21C4-0428-030D4265475F;2020-08-05;08:41:31;3;3.322;11.137;17.343
19165ED7-212E-21C4-0428-030D4265475F;2020-08-06;06:57:37;4;7.752;15.012;16.615
19165ED7-212E-21C4-0428-030D4265475F;2020-08-07;17:49:14;4;3.882;12.219;15.756
19165ED7-212E-21C4-0428-030D4265475F;2020-08-08;07:53:43;4;4.803;9.468;18.968
19165ED7-212E-21C4-0428-030D4265475F;2020-08-09;08:30:55;3;4.898;15.867;18.066
19165ED7-212E-21C4-0428-030D4265475F;2020-08-10;17:08:11;4;7.401;12.586;16.419
19165ED7-212E-21C4-0428-030D4265475F;2020-08-11;14:41:59;3;7.593;11.160;15.819
19165ED7-212E-21C4-0428-030D4265475F;2020-08-12;12:12:26;3;4.028;9.599;15.760
19165ED7-212E-21C4-0428-030D4265475F;2020-08-13;17:18:46;4;3.244;13.746;15.950
19165ED7-212E-21C4-0428-030D4265475F;2020-08-14;16:36:38;3;3.913;17.033;15.991
19165ED7-212E-21C4-0428-030D4265475F;2020-08-15;12:30:24;4;3.065;14.071;18.414
19165ED7-212E-21C4-0428-030D4265475F;2020-08-16;15:54:13;4;6.063;10.280;16.572
19165ED7-212E-21C4-0428-030D4265475F;2020-08-17;08:03:10;4;7.556;10.246;17.871
19165ED7-212E-21C4-0428-030D4265475F;2020-08-18;16:15:32;3;7.434;12.351;15.864
19165ED7-212E-21C4-0428-030D4265475F;2020-08-19;17:21:27;3;4.381;12.797;18.570
19165ED7-212E-21C4-0428-030D4265475F;2020-08-20;12:28:33;3;4.824;15.194;15.863
19165ED7-212E-21C4-0428-030D4265475F;2020-08-21;08:28:49;3;4.716;17.787;17.797
19165ED7-212E-21C4-0428-030D4265475F;2020-08-22;14:35:19;4;4.779;12.109;16.581
19165ED7-212E-21C4-0428-030D4265475F;2020-08-23;12:32:15;3;4.880;14.430;15.570
19165ED7-212E-21C4-0428-030D4265475F;2020-08-24;06:28:21;3;4.125;16.146;16.137
19165ED7-212E-21C4-0428-030D4265475F;2020-08-25;09:15:04;3;5.853;11.772;15.771
19165ED7-212E-21C4-0428-030D4265475F;2020-08-26;06:37:24;3;6.983;17.027;16.572
19165ED7-212E-21C4-0428-030D4265475F;2020-08-27;16:11:40;4;5.201;13.052;16.952
19165ED7-212E-21C4-0428-030D4265475F;2020-08-28;11:50:45;3;7.834;9.855;16.856
19165ED7-212E-21C4-0428-030D4265475F;2020-08-29;06:36:00;3;3.223;10.526;15.390
19165ED7-212E-21C4-0428-030D4265475F;2020-08-30;08:50:14;4;4.822;10.808;17.177
19165ED7-212E-21C4-0428-030D4265475F;2020-08-31;09:44:31;3;6.321;15.335;16.199
19165ED7-212E-21C4-0428-030D4265475F;2020-09-01;06:09:37;4;5.641;13.916;16.979
19165ED7-212E-21C4-0428-030D4265475F;2020-09-02;13:24:48;4;5.627;9.729;18.033
19165ED7-212E-21C4-0428-030D4265475F;2020-09-03;15:19:56;3;5.577;13.809;18.010
19165ED7-212E-21C4-0428-030D4265475F;2020-09-04;17:14:42;4;4.458;15.433;18.606
19165ED7-212E-21C4-0428-030D4265475F;2020-09-05;14:40:01;4;4.775;12.789;17.965
19165ED7-212E-21C4-0428-030D4265475F;2020-09-06;16:51:07;3;7.778;14.219;15.086
19165ED7-212E-21C4-0428-030D4265475F;2020-09-07;13:02:29;4;5.923;13.496;15.392
19165ED7-212E-21C4-0428-030D4265475F;2020-09-08;09:02:31;3;3.147;11.104;16.594
19165ED7-212E-21C4-0428-030D4265475F;2020-09-09;06:02:07;4;5.713;15.386;17.343
19165ED7-212E-21C4-0428-030D4265475F;2020-09-10;12:44:22;4;5.124;15.639;15.989
19165ED7-212E-21C4-0428-030D4265475F;2020-09-11;06:51:34;4;7.125;15.223;15.952
19165ED7-212E-21C4-0428-030D4265475F;2020-09-12;10:16:12;3;3.112;14.381;17.188
19165ED7-212E-21C4-0428-030D4265475F;2020-09-13;16:51:05;3;4.672;11.826;18.684
19165ED7-212E-21C4-0428-030D4265475F;2020-09-14;15:01:11;4;4.050;14.500;16.338
19165ED7-212E-21C4-0428-030D4265475F;2020-09-15;12:12:25;4;5.365;11.288;17.646
19165ED7-212E-21C4-0428-030D4265475F;2020-09-16;13:54:13;3;6.892;13.035;16.695
19165ED7-212E-21C4-0428-030D4265475F;2020-09-17;16:42:16;4;6.614;17.971;16.692
19165ED7-212E-21C4-0428-030D4265475F;2020-09-18;10:50:29;4;7.975;11.903;15.617
19165ED7-212E-21C4-0428-030D4265475F;2020-09-19;11:31:31;3;7.413;10.985;16.658
19165ED7-212E-21C4-0428-030D4265475F;2020-09-20;14:29:23;4;3.032;11.486;17.096
19165ED7-212E-21C4-0428-030D4265475F;2020-09-21;16:32:39;4;7.297;17.401;16.378
19165ED7-212E-21C4-0428-030D4265475F;2020-09-22;08:13:48;4;4.783;10.907;16.000
19165ED7-212E-21C4-0428-030D4265475F;2020-09-23;13:41:17;3;6.860;10.561;18.574
19165ED7-212E-21C4-0428-030D4265475F;2020-09-24;12:46:28;4;5.967;11.764;18.706
19165ED7-212E-21C4-0428-030D4265475F;2020-09-25;15:20:50;4;3.838;14.244;16.917
19165ED7-212E-21C4-0428-030D4265475F;2020-09-26;06:34:59;3;7.421;9.396;15.988
19165ED7-212E-21C4-0428-030D4265475F;2020-09-27;08:43:28;4;7.797;17.383;17.442
19165ED7-212E-21C4-0428-030D4265475F;2020-09-28;16:50:01;3;7.227;17.915;15.943
19165ED7-212E-21C4-0428-030D4265475F;2020-09-29;08:15:25;4;6.975;15.405;18.080
19165ED7-212E-21C4-0428-030D4265475F;2020-09-30;12:45:30;4;5.485;9.088;16.558
19165ED7-212E-21C4-0428-030D4265475F;2020-10-01;17:42:22;3;7.494;9.531;17.648
19165ED7-212E-21C4-0428-030D4265475F;2020-10-02;06:28:46;4;6.724;12.969;16.323
19165ED7-212E-21C4-0428-030D4265475F;2020-10-03;10:49:45;4;7.014;15.931;15.061
19165ED7-212E-21C4-0428-030D4265475F;2020-10-04;12:34:35;3;4.261;15.703;15.074
19165ED7-212E-21C4-0428-030D4265475F;2020-10-05;06:29:29;3;6.884;16.059;18.878
